index,_id,date,state,cases_new,cases_unvax,cases_pvax,cases_fvax,cases_boost,cases_child,cases_adolescent,cases_adult,cases_elderly
55,66652ec1293428f1f44df1e9,2020-01-28,Perlis,0,0,0,0,0,0,0,0,0
56,66652ec1293428f1f44df1ea,2020-01-28,Pulau Pinang,0,0,0,0,0,0,0,0,0
57,66652ec1293428f1f44df1eb,2020-01-28,Sabah,0,0,0,0,0,0,0,0,0
58,66652ec1293428f1f44df1ec,2020-01-28,Sarawak,0,0,0,0,0,0,0,0,0
59,66652ec1293428f1f44df1ed,2020-01-28,Selangor,0,0,0,0,0,0,0,0,0
60,66652ec1293428f1f44df1ee,2020-01-28,Terengganu,0,0,0,0,0,0,0,0,0
61,66652ec1293428f1f44df1ef,2020-01-28,W.P. Kuala Lumpur,0,0,0,0,0,0,0,0,0
62,66652ec1293428f1f44df1f0,2020-01-28,W.P. Labuan,0,0,0,0,0,0,0,0,0
63,66652ec1293428f1f44df1f1,2020-01-28,W.P. Putrajaya,0,0,0,0,0,0,0,0,0
64,66652ec1293428f1f44df1f2,2020-01-29,Johor,2,2,0,0,0,0,0,2,0
65,66652ec1293428f1f44df1f3,2020-01-29,Kedah,1,1,0,0,0,1,0,0,0
66,66652ec1293428f1f44df1f4,2020-01-29,Kelantan,0,0,0,0,0,0,0,0,0
67,66652ec1293428f1f44df1f5,2020-01-29,Melaka,0,0,0,0,0,0,0,0,0
68,66652ec1293428f1f44df1f6,2020-01-29,Negeri Sembilan,0,0,0,0,0,0,0,0,0
69,66652ec1293428f1f44df1f7,2020-01-29,Pahang,0,0,0,0,0,0,0,0,0
70,66652ec1293428f1f44df1f8,2020-01-29,Perak,0,0,0,0,0,0,0,0,0
71,66652ec1293428f1f44df1f9,2020-01-29,Perlis,0,0,0,0,0,0,0,0,0
72,66652ec1293428f1f44df1fa,2020-01-29,Pulau Pinang,0,0,0,0,0,0,0,0,0
73,66652ec1293428f1f44df1fb,2020-01-29,Sabah,0,0,0,0,0,0,0,0,0
74,66652ec1293428f1f44df1fc,2020-01-29,Sarawak,0,0,0,0,0,0,0,0,0
75,66652ec1293428f1f44df1fd,2020-01-29,Selangor,0,0,0,0,0,0,0,0,0
76,66652ec1293428f1f44df1fe,2020-01-29,Terengganu,0,0,0,0,0,0,0,0,0
77,66652ec1293428f1f44df1ff,2020-01-29,W.P. Kuala Lumpur,0,0,0,0,0,0,0,0,0
78,66652ec1293428f1f44df200,2020-01-29,W.P. Labuan,0,0,0,0,0,0,0,0,0
79,66652ec1293428f1f44df201,2020-01-29,W.P. Putrajaya,0,0,0,0,0,0,0,0,0
80,66652ec1293428f1f44df202,2020-01-30,Johor,1,1,0,0,0,0,0,1,0
81,66652ec1293428f1f44df203,2020-01-30,Kedah,0,0,0,0,0,0,0,0,0
82,66652ec1293428f1f44df204,2020-01-30,Kelantan,0,0,0,0,0,0,0,0,0
83,66652ec1293428f1f44df205,2020-01-30,Melaka,0,0,0,0,0,0,0,0,0
84,66652ec1293428f1f44df206,2020-01-30,Negeri Sembilan,0,0,0,0,0,0,0,0,0
85,66652ec1293428f1f44df207,2020-01-30,Pahang,0,0,0,0,0,0,0,0,0
86,66652ec1293428f1f44df208,2020-01-30,Perak,0,0,0,0,0,0,0,0,0
87,66652ec1293428f1f44df209,2020-01-30,Perlis,0,0,0,0,0,0,0,0,0
88,66652ec1293428f1f44df20a,2020-01-30,Pulau Pinang,0,0,0,0,0,0,0,0,0
89,66652ec1293428f1f44df20b,2020-01-30,Sabah,0,0,0,0,0,0,0,0,0
90,66652ec1293428f1f44df20c,2020-01-30,Sarawak,0,0,0,0,0,0,0,0,0
91,66652ec1293428f1f44df20d,2020-01-30,Selangor,0,0,0,0,0,0,0,0,0
92,66652ec1293428f1f44df20e,2020-01-30,Terengganu,0,0,0,0,0,0,0,0,0
93,66652ec1293428f1f44df20f,2020-01-30,W.P. Kuala Lumpur,0,0,0,0,0,0,0,0,0
94,66652ec1293428f1f44df210,2020-01-30,W.P. Labuan,0,0,0,0,0,0,0,0,0
95,66652ec1293428f1f44df211,2020-01-30,W.P. Putrajaya,0,0,0,0,0,0,0,0,0
96,66652ec1293428f1f44df212,2020-01-31,Johor,0,0,0,0,0,0,0,0,0
97,66652ec1293428f1f44df213,2020-01-31,Kedah,0,0,0,0,0,0,0,0,0
98,66652ec1293428f1f44df214,2020-01-31,Kelantan,0,0,0,0,0,0,0,0,0
99,66652ec1293428f1f44df215,2020-01-31,Melaka,0,0,0,0,0,0,0,0,0
100,66652ec1293428f1f44df216,2020-01-31,Negeri Sembilan,0,0,0,0,0,0,0,0,0
101,66652ec1293428f1f44df217,2020-01-31,Pahang,0,0,0,0,0,0,0,0,0
102,66652ec1293428f1f44df218,2020-01-31,Perak,0,0,0,0,0,0,0,0,0
103,66652ec1293428f1f44df219,2020-01-31,Perlis,0,0,0,0,0,0,0,0,0
104,66652ec1293428f1f44df21a,2020-01-31,Pulau Pinang,0,0,0,0,0,0,0,0,0
105,66652ec1293428f1f44df21b,2020-01-31,Sabah,0,0,0,0,0,0,0,0,0
106,66652ec1293428f1f44df21c,2020-01-31,Sarawak,0,0,0,0,0,0,0,0,0
107,66652ec1293428f1f44df21d,2020-01-31,Selangor,0,0,0,0,0,0,0,0,0
108,66652ec1293428f1f44df21e,2020-01-31,Terengganu,0,0,0,0,0,0,0,0,0
109,66652ec1293428f1f44df21f,2020-01-31,W.P. Kuala Lumpur,0,0,0,0,0,0,0,0,0
110,66652ec1293428f1f44df220,2020-01-31,W.P. Labuan,0,0,0,0,0,0,0,0,0
111,66652ec1293428f1f44df221,2020-01-31,W.P. Putrajaya,0,0,0,0,0,0,0,0,0
112,66652ec1293428f1f44df222,2020-02-01,Johor,0,0,0,0,0,0,0,0,0
113,66652ec1293428f1f44df223,2020-02-01,Kedah,0,0,0,0,0,0,0,0,0
114,66652ec1293428f1f44df224,2020-02-01,Kelantan,0,0,0,0,0,0,0,0,0
115,66652ec1293428f1f44df225,2020-02-01,Melaka,0,0,0,0,0,0,0,0,0
116,66652ec1293428f1f44df226,2020-02-01,Negeri Sembilan,0,0,0,0,0,0,0,0,0
117,66652ec1293428f1f44df227,2020-02-01,Pahang,0,0,0,0,0,0,0,0,0
118,66652ec1293428f1f44df228,2020-02-01,Perak,0,0,0,0,0,0,0,0,0
119,66652ec1293428f1f44df229,2020-02-01,Perlis,0,0,0,0,0,0,0,0,0
120,66652ec1293428f1f44df22a,2020-02-01,Pulau Pinang,0,0,0,0,0,0,0,0,0
121,66652ec1293428f1f44df22b,2020-02-01,Sabah,0,0,0,0,0,0,0,0,0
122,66652ec1293428f1f44df22c,2020-02-01,Sarawak,0,0,0,0,0,0,0,0,0
123,66652ec1293428f1f44df22d,2020-02-01,Selangor,0,0,0,0,0,0,0,0,0
124,66652ec1293428f1f44df22e,2020-02-01,Terengganu,0,0,0,0,0,0,0,0,0
125,66652ec1293428f1f44df22f,2020-02-01,W.P. Kuala Lumpur,0,0,0,0,0,0,0,0,0
126,66652ec1293428f1f44df230,2020-02-01,W.P. Labuan,0,0,0,0,0,0,0,0,0
127,66652ec1293428f1f44df231,2020-02-01,W.P. Putrajaya,0,0,0,0,0,0,0,0,0
128,66652ec1293428f1f44df232,2020-02-02,Johor,0,0,0,0,0,0,0,0,0
129,66652ec1293428f1f44df233,2020-02-02,Kedah,0,0,0,0,0,0,0,0,0
130,66652ec1293428f1f44df234,2020-02-02,Kelantan,0,0,0,0,0,0,0,0,0
131,66652ec1293428f1f44df235,2020-02-02,Melaka,0,0,0,0,0,0,0,0,0
132,66652ec1293428f1f44df236,2020-02-02,Negeri Sembilan,0,0,0,0,0,0,0,0,0
133,66652ec1293428f1f44df237,2020-02-02,Pahang,0,0,0,0,0,0,0,0,0
134,66652ec1293428f1f44df238,2020-02-02,Perak,0,0,0,0,0,0,0,0,0
135,66652ec1293428f1f44df239,2020-02-02,Perlis,0,0,0,0,0,0,0,0,0
136,66652ec1293428f1f44df23a,2020-02-02,Pulau Pinang,0,0,0,0,0,0,0,0,0
137,66652ec1293428f1f44df23b,2020-02-02,Sabah,0,0,0,0,0,0,0,0,0
138,66652ec1293428f1f44df23c,2020-02-02,Sarawak,0,0,0,0,0,0,0,0,0
139,66652ec1293428f1f44df23d,2020-02-02,Selangor,0,0,0,0,0,0,0,0,0
140,66652ec1293428f1f44df23e,2020-02-02,Terengganu,0,0,0,0,0,0,0,0,0
141,66652ec1293428f1f44df23f,2020-02-02,W.P. Kuala Lumpur,0,0,0,0,0,0,0,0,0
142,66652ec1293428f1f44df240,2020-02-02,W.P. Labuan,0,0,0,0,0,0,0,0,0
143,66652ec1293428f1f44df241,2020-02-02,W.P. Putrajaya,0,0,0,0,0,0,0,0,0
144,66652ec1293428f1f44df242,2020-02-03,Johor,0,0,0,0,0,0,0,0,0
145,66652ec1293428f1f44df243,2020-02-03,Kedah,0,0,0,0,0,0,0,0,0
146,66652ec1293428f1f44df244,2020-02-03,Kelantan,0,0,0,0,0,0,0,0,0
147,66652ec1293428f1f44df245,2020-02-03,Melaka,0,0,0,0,0,0,0,0,0
148,66652ec1293428f1f44df246,2020-02-03,Negeri Sembilan,0,0,0,0,0,0,0,0,0
149,66652ec1293428f1f44df247,2020-02-03,Pahang,0,0,0,0,0,0,0,0,0
150,66652ec1293428f1f44df248,2020-02-03,Perak,0,0,0,0,0,0,0,0,0
151,66652ec1293428f1f44df249,2020-02-03,Perlis,0,0,0,0,0,0,0,0,0
152,66652ec1293428f1f44df24a,2020-02-03,Pulau Pinang,0,0,0,0,0,0,0,0,0
153,66652ec1293428f1f44df24b,2020-02-03,Sabah,0,0,0,0,0,0,0,0,0
154,66652ec1293428f1f44df24c,2020-02-03,Sarawak,0,0,0,0,0,0,0,0,0
155,66652ec1293428f1f44df24d,2020-02-03,Selangor,0,0,0,0,0,0,0,0,0
156,66652ec1293428f1f44df24e,2020-02-03,Terengganu,0,0,0,0,0,0,0,0,0
157,66652ec1293428f1f44df24f,2020-02-03,W.P. Kuala Lumpur,0,0,0,0,0,0,0,0,0
158,66652ec1293428f1f44df250,2020-02-03,W.P. Labuan,0,0,0,0,0,0,0,0,0
159,66652ec1293428f1f44df251,2020-02-03,W.P. Putrajaya,0,0,0,0,0,0,0,0,0
160,66652ec1293428f1f44df252,2020-02-04,Johor,0,0,0,0,0,0,0,0,0
161,66652ec1293428f1f44df253,2020-02-04,Kedah,0,0,0,0,0,0,0,0,0
162,66652ec1293428f1f44df254,2020-02-04,Kelantan,0,0,0,0,0,0,0,0,0
163,66652ec1293428f1f44df255,2020-02-04,Melaka,0,0,0,0,0,0,0,0,0
164,66652ec1293428f1f44df256,2020-02-04,Negeri Sembilan,0,0,0,0,0,0,0,0,0
165,66652ec1293428f1f44df257,2020-02-04,Pahang,0,0,0,0,0,0,0,0,0
166,66652ec1293428f1f44df258,2020-02-04,Perak,0,0,0,0,0,0,0,0,0
167,66652ec1293428f1f44df259,2020-02-04,Perlis,0,0,0,0,0,0,0,0,0
168,66652ec1293428f1f44df25a,2020-02-04,Pulau Pinang,0,0,0,0,0,0,0,0,0
169,66652ec1293428f1f44df25b,2020-02-04,Sabah,0,0,0,0,0,0,0,0,0
170,66652ec1293428f1f44df25c,2020-02-04,Sarawak,0,0,0,0,0,0,0,0,0
171,66652ec1293428f1f44df25d,2020-02-04,Selangor,1,1,0,0,0,0,0,1,0
172,66652ec1293428f1f44df25e,2020-02-04,Terengganu,0,0,0,0,0,0,0,0,0
173,66652ec1293428f1f44df25f,2020-02-04,W.P. Kuala Lumpur,1,1,0,0,0,0,0,0,1
174,66652ec1293428f1f44df260,2020-02-04,W.P. Labuan,0,0,0,0,0,0,0,0,0
175,66652ec1293428f1f44df261,2020-02-04,W.P. Putrajaya,0,0,0,0,0,0,0,0,0
176,66652ec1293428f1f44df262,2020-02-05,Johor,0,0,0,0,0,0,0,0,0
177,66652ec1293428f1f44df263,2020-02-05,Kedah,0,0,0,0,0,0,0,0,0
178,66652ec1293428f1f44df264,2020-02-05,Kelantan,0,0,0,0,0,0,0,0,0
179,66652ec1293428f1f44df265,2020-02-05,Melaka,0,0,0,0,0,0,0,0,0
180,66652ec1293428f1f44df266,2020-02-05,Negeri Sembilan,2,2,0,0,0,1,0,1,0
181,66652ec1293428f1f44df267,2020-02-05,Pahang,0,0,0,0,0,0,0,0,0
182,66652ec1293428f1f44df268,2020-02-05,Perak,0,0,0,0,0,0,0,0,0
183,66652ec1293428f1f44df269,2020-02-05,Perlis,0,0,0,0,0,0,0,0,0
184,66652ec1293428f1f44df26a,2020-02-05,Pulau Pinang,0,0,0,0,0,0,0,0,0
185,66652ec1293428f1f44df26b,2020-02-05,Sabah,0,0,0,0,0,0,0,0,0
186,66652ec1293428f1f44df26c,2020-02-05,Sarawak,0,0,0,0,0,0,0,0,0
187,66652ec1293428f1f44df26d,2020-02-05,Selangor,0,0,0,0,0,0,0,0,0
188,66652ec1293428f1f44df26e,2020-02-05,Terengganu,0,0,0,0,0,0,0,0,0
189,66652ec1293428f1f44df26f,2020-02-05,W.P. Kuala Lumpur,0,0,0,0,0,0,0,0,0
190,66652ec1293428f1f44df270,2020-02-05,W.P. Labuan,0,0,0,0,0,0,0,0,0
191,66652ec1293428f1f44df271,2020-02-05,W.P. Putrajaya,0,0,0,0,0,0,0,0,0
192,66652ec1293428f1f44df272,2020-02-06,Johor,0,0,0,0,0,0,0,0,0
193,66652ec1293428f1f44df273,2020-02-06,Kedah,1,1,0,0,0,0,0,1,0
194,66652ec1293428f1f44df274,2020-02-06,Kelantan,0,0,0,0,0,0,0,0,0
195,66652ec1293428f1f44df275,2020-02-06,Melaka,0,0,0,0,0,0,0,0,0
196,66652ec1293428f1f44df276,2020-02-06,Negeri Sembilan,0,0,0,0,0,0,0,0,0
197,66652ec1293428f1f44df277,2020-02-06,Pahang,0,0,0,0,0,0,0,0,0
198,66652ec1293428f1f44df278,2020-02-06,Perak,0,0,0,0,0,0,0,0,0
199,66652ec1293428f1f44df279,2020-02-06,Perlis,0,0,0,0,0,0,0,0,0
200,66652ec1293428f1f44df27a,2020-02-06,Pulau Pinang,0,0,0,0,0,0,0,0,0
201,66652ec1293428f1f44df27b,2020-02-06,Sabah,0,0,0,0,0,0,0,0,0
202,66652ec1293428f1f44df27c,2020-02-06,Sarawak,0,0,0,0,0,0,0,0,0
